name,x,y,z,v_x,v_y,v_z,step,mass
earth,148101563582.5894,12031633203.66906,28971897.52999414,-2852.808463265427,29577.35349679646,-0.246857463560346,0,5.97219e+24
mars,171599821766.7442,129604579404.2689,-1498853612.283945,-13595.54732405751,21452.25909558543,783.5516103695479,0,6.417099999999999e+23
mercury,43720575454.96173,20262994175.51946,-2460326335.3391943,-29334.444211807182,46624.406250687935,6502.26176567587,0,3.302e+23
sun,-1359571567.956588,142816226.57743308,30493500.63939165,-0.3801555292415452,-15.72696886195301,0.13389707629349842,0,1.9885e+30
venus,-106806559103.8165,20736240800.37171,6397731020.547966,-6895.41983945917,-34543.29478346699,-76.01317591860379,0,4.8685e+24
