name,x,y,z,v_x,v_y,v_z,step,mass
earth,148101563582.5894,12031633203.66906,28971897.52999414,-2852.808463265427,29577.35349679646,-0.246857463560346,0,5.97219e+24
sun,-1359571567.956588,142816226.57743308,30493500.63939165,-0.3801555292415452,-15.72696886195301,0.13389707629349842,0,1.9885e+30
